Text
New PODs UP- revisiting a great talk with Jess Hallams about #Tohoku Travel #sustainabletravel https://player.captivate.fm/episode/2c0f970a-1641-411a-a329-409f7774a1d0… And 30 min #sustainable Short-Takes Episode with Tove & Shirley https://player.captivate.fm/episode/9ad84b23-5469-4016-90e2-f8139938145f… #seeksustainablejapan #japan #sdgs #travel #sustainability #podcast
"""the annual carbon footprint of astronomy's research infrastructure is equivalent to about 20 million metric tons of [CO2, not including] scientists' travel to conferences, supercomputing power and office heating"" Take #ClimateAction, #FightforEarth!"


SEC’s New Climate Push, Tesla’s Giga Berlin Opens, And A Chat About #Sustainable Travel. #climateaction
RT @ Earth_Changers_ #InTheNews re. #sustainable #travel & #development: 4/ #Carbon: Extend life of key #climate sensor that maps world’s #forests, Nasa told https://theguardian.com/environment/2022/mar/20/nasa-urged-to-extend-life-of-key-climate-sensor-that-maps-worlds-forests-gedi-aoe… #sdg13 #climateaction #tacklethecrisis #gedi #biodiversity #trees #deforestation #forest
http://AnthropoceneDAO.com »SEC’s New Climate Push, Tesla’s Giga Berlin Opens, And A Chat About Sustainable Travel« https://forbes.com/sites/sofialottopersio/2022/03/25/sec-climate-rules-tesla-giga-berlin-sustainable-travel/… #Anthropocene #DAO 道 #Sustainability #Science #Innovation #Technology
8 Ways to Build a Business For Good and Not Just Profit! | Free Range Entrepreneur #Businessforgood #Forceforgood #Sustainability #adventure #travel #entrepreneur
#InTheNews re. #sustainable #travel & #development: 4/ #Carbon: Extend life of key #climate sensor that maps world’s #forests, Nasa told https://theguardian.com/environment/2022/mar/20/nasa-urged-to-extend-life-of-key-climate-sensor-that-maps-worlds-forests-gedi-aoe… #sdg13 #climateaction #tacklethecrisis #gedi #biodiversity #trees #deforestation #forest
An Affair Never-Ending | Lorraine Caputo | The BeZine Spring 2022 Issue's BeATtitudes | #sustainABILITY #prose #travelwriting #travel
An Affair Never-Ending | Lorraine Caputo | The BeZine Spring 2022 Issue's BeATtitudes | #sustainABILITY #prose #travelwriting #travel
Corporate #travel predictions are predicted to blow past pre-pandemic levels by 2025, but #sustainability and environmental concerns won’t get left in the dust. Read more from @BTNEurope.
An Affair Never-Ending | Lorraine Caputo | The BeZine Spring 2022 Issue's BeATtitudes | #sustainABILITY #prose #travelwriting #travel
Bike lanes are good for business! Canada’s petrofascism is most on display in our large prairie cities that cater exclusively to vehicle travel… #ClimateAction #ClimateBrawl #ClimateCrisis
Corporate #travel predictions are predicted to blow past pre-pandemic levels by 2025, but #sustainability and environmental concerns won’t get left in the dust. Read more from @BTNEurope.
A tale of practicing sustainable tourism in the #Philippines << https://bit.ly/3IHDsxg >> #Travel #Sustainability #travelbloggers
On your travels our 60gm soap make an #ecofriendly alternative to liquid soap, where you have #zerowaste #plasicfree #Sustainability. What's not to love? https://maryjean.co.uk/travel-and-accessories/…
#Sustainability news: #TUI is considered the most sustainable brand in Denmark within the Travel & Tourism industry – In and , we were ranked highest compared to other travel companies and in all four Nordic markets we climbed compared to last year. #sbindex22
Students in the Netherlands built this #solarpowered van. It can travel up to 740km and reach speeds up to 120kmph on a sunny day. How cool is this? #EnergyTransition #Energy #ClimateChange #Sustainability #Renewables @wef
Corporate #travel predictions are predicted to blow past pre-pandemic levels by 2025, but #sustainability and environmental concerns won’t get left in the dust. Read more from @BTNEurope.
Travel for #springbreak , with one bag , many styles- #duffel to keep under the seat , and convert to #minimalist sling bag to visit the park. #sustainability #gogreen #rpet #travel #carryonluggage
Business-travel association announces significant sustainability efforts, brings on high-level climate-action advisors. https://meetingsnet.com/sustainability/sustainability-journey-best-taken-together… #businesstravel #sustainability
Should I tell you how exciting this is?! Our new mission is out. Have a look and make the handsome guy travel and spread the news!!! #anthropocene #Sustainability #SDGs #ClimateAction #FridaysForFuture #ClimateCrisis #DontLookUp #ConsciousPlanet #TedTalk
Friday morning commute in Amsterdam #sustainable #Travel takes many forms and is our shared responsibility #Sustainability

The discovery shows that particles can travel around the body and may lodge in organs. This is time for us to truly wake up! Please share around to raise awareness. #CircularEconomy #Sustainability #SDGs #GlobalGoals #Environment #ClimateCrisis #GlobalWarming
Tourists spend over $25 billion a year on travel and recreation in North Carolina. Attend this webinar to learn about tools & techniques communities can use to maximize tourism benefits and minimize potential problems. https://bit.ly/3Noiyac #tourism #sustainability #nc
Whilst there is still a fair way to travel along the path to #Sustainability, Borussia Dortmund @BlackYellow, @juventusfcen and to some extent @ASRomaEN and @AFCAjax give signals of making progress. #esg #ratings #complyingwiththefuture
